Name;Games;Goals;Yellow card;Red Card;PIF2;P-lirot;AIFK;Peimari;Tove;PIF2;TPK;Maps;Paiha;Inter Turku II;Pallo-Lirot;Aland;VG-62;Peimari ;TPK;Tove;PIF2;Maps;Paiha;Inter Tuku II;Pallo-lirot;FC Aland;VG-62;Mins
Holopainen Erik;22;3;0;0;60;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;2040
Linna Christian;21;8;0;0;;30;90;90;90;90;90;90;90;90;90;90;90;90;90;0;90;90;80;90;80;90;90;1810
Abdallah Zegy;21;3;2;0;45;60;90;90;90;90;90;80;90;90;90;60;0;70;60;60;30;60;30;90;90;30;45;1530
Järvinen Lauri;20;0;0;0;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;;;1890
Ohvo Otto;20;3;2;0;45;45;90;90;;90;90;90;90;90;90;90;90;80;90;90;90;90;90;90;90;90;0;1790
Johansson Alex;19;0;1;1;60;90;90;90;90;90;80;45;35;0;90;90;90;90;90;0;0;90;70;70;70;30;30;1480
Harittu Niklas;18;4;9;0;60;30;45;90;80;90;80;73;0;80;75;90;90;0;90;90;80;90;0;60;80;60;0;1433
Koski Patrik;16;0;1;0;;;;0;;;10;0;45;90;90;60;0;90;90;90;90;90;90;90;90;90;90;1195
Näsi Otto;15;3;4;1;30;30;90;30;30;45;45;45;60;60;0;60;60;0;0;0;10;0;0;10;10;10;90;715
Lehto Joni;13;1;1;0;60;;70;0;;45;20;20;60;45;75;45;30;30;0;0;0;0;20;0;0;0;20;540
Rähmönen Sami;13;0;3;0;0;0;90;0;;90;90;;90;;90;;90;90;;;90;;90;90;;;90;990
Abdallah Rody;10;0;2;0;0;;0;0;;;;10;60;0;0;0;0;0;0;30;15;30;30;30;20;70;45;340
Boström Aapo;10;0;0;0;90;90;90;90;;;;10;25;0;0;30;60;70;0;0;0;0;70;90;60;0;0;775
Pöysä Severi;10;4;0;0;;60;;90;90;90;90;90;0;90;0;0;0;90;0;90;90;0;0;0;0;90;0;960
Haapaniemi Aamos;9;0;1;0;45;30;0;0;60;;45;0;25;90;75;0;60;10;0;30;0;0;0;0;0;0;0;470
Helén Onni;9;5;3;0;90;60;0;60;90;80;70;0;25;0;0;30;90;0;0;0;0;0;60;30;0;0;0;685
Karelius Eraldo;9;0;2;0;;;;0;;;;;;;;;;;;;;20;10;20;10;;90;150
Moberg Leevi;8;3;0;0;0;;0;0;;;;0;0;20;45;0;0;0;60;60;60;0;0;0;0;20;45;310
Bushi Bertan;8;0;2;0;0;;0;0;;;;10;0;0;0;0;0;0;30;90;60;70;60;60;0;0;60;440
Talvitie Antti;7;0;3;0;;;;;;;;;;;;;;;90;60;80;90;90;60;0;0;45;515
Pajula Onnipekka;6;2;0;0;;;;;;;;;;;;;;;;0;40;60;90;80;90;90;0;450
Pohjolainen Santeri;5;1;1;0;;;;45;;;45;80;0;0;0;0;0;0;0;0;0;0;0;0;30;60;0;260
Eriksson Emil;4;0;0;0;30;;0;0;10;10;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77
Beqiri Dion;4;0;0;0;45;30;20;0;;;;;0;0;0;0;0;0;0;30;30;20;20;20;0;0;0;215
Seppänen Alfons;4;0;1;0;45;;45;30;;;;;45;0;15;0;0;0;0;0;0;0;0;0;0;0;0;180
Kurittu Otso;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;90;90;180
Karttila Ami;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Arola Matias;2;0;0;0;;;;;;;;0;0;45;20;0;0;0;0;0;0;0;0;0;0;0;0;65
Jakonen Olli;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Lakkamäki Joonas;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Jalonen Jasper;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Uusitalo Eero;1;0;0;0;;;90;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90
Kyllönen Lucas;1;0;1;0;30;;0;0;;;;;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;60
Zeb Haris;1;2;0;0;;;;;;;;;;;;;;;;90;0;0;0;0;0;0;0;90
Lundén Antti;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;90;90
Aitos Patrik;1;0;0;0;30;30;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
